freq	dB(S(1,1))
9.99749999999999872E6	-3.17603388260777830E1
9.99760000000000026E6	-3.20950278551915158E1
9.99770000000000003E6	-3.24407563627614826E1
9.99779999999999980E6	-3.27980207900276444E1
9.99789999999999957E6	-3.31673010274115310E1
9.99799999999999933E6	-3.35490400256858701E1
9.99810000000000088E6	-3.39436147379675646E1
9.99820000000000064E6	-3.43512951264226540E1
9.99829999999999863E6	-3.47721868392854949E1
9.99840000000000018E6	-3.52061517446557426E1
9.99849999999999994E6	-3.56526988356234664E1
9.99859999999999971E6	-3.61108362895733581E1
9.99870000000000125E6	-3.65788741919106375E1
9.99879999999999924E6	-3.70541677651317647E1
9.99890000000000079E6	-3.75327951002826143E1
9.99899999999999878E6	-3.80091752094855462E1
9.99910000000000210E6	-3.84756573679945912E1
9.99920000000000009E6	-3.89221574056619213E1
9.99929999999999986E6	-3.93359825483081504E1
9.99939999999999962E6	-3.97020593809062472E1
9.99950000000000117E6	-4.00038135446661158E1
9.99960000000000093E6	-4.02248637156306632E1
9.99970000000000070E6	-4.03514141949303440E1
9.99979999999999869E6	-4.03748057083816025E1
9.99990000000000023E6	-4.02933605769564185E1
1.00000000000000000E7	-4.01127616570432632E1
1.00001000000000007E7	-3.98447968189849266E1
1.00002000000000013E7	-3.95050110903578133E1
1.00002999999999997E7	-3.91101506443264446E1
1.00003999999999982E7	-3.86761175499501642E1
1.00004999999999988E7	-3.82167333401808218E1
1.00005999999999995E7	-3.77432483256901952E1
1.00007000000000001E7	-3.72643662863606639E1
1.00008000000000008E7	-3.67865456892195875E1
1.00008999999999970E7	-3.63144021475805534E1
1.00010000000000021E7	-3.58511092242901253E1
1.00010999999999983E7	-3.53987492921642311E1
1.00012000000000012E7	-3.49585993975677090E1
1.00012999999999996E7	-3.45313540766812954E1
1.00014000000000003E7	-3.41172940802250491E1
1.00015000000000009E7	-3.37164116472177477E1
1.00015999999999994E7	-3.33285022223967919E1
1.00017000000000023E7	-3.29532308920055561E1
1.00017999999999985E7	-3.25901800761735094E1
1.00018999999999991E7	-3.22388834729763341E1
1.00019999999999998E7	-3.18988499906234502E1
1.00021000000000004E7	-3.15695804268963665E1
1.00022000000000011E7	-3.12505789157595570E1
1.00022999999999995E7	-3.09413606127515806E1
1.00024000000000002E7	-3.06414566873998151E1
1.00025000000000008E7	-3.03504173970070035E1
1.00025999999999993E7	-3.00678138022577457E1
1.00026999999999999E7	-2.97932385296066116E1
1.00027999999999984E7	-2.95263058733668693E1
1.00029000000000012E7	-2.92666514481966589E1
1.00029999999999997E7	-2.90139315439633316E1
1.00031000000000003E7	-2.87678222916438120E1
1.00032000000000010E7	-2.85280187179065026E1
1.00032999999999994E7	-2.82942337431607260E1
1.00034000000000001E7	-2.80661971615157313E1
1.00034999999999985E7	-2.78436546291629705E1
1.00036000000000014E7	-2.76263666789033291E1
1.00036999999999998E7	-2.74141077724261129E1
1.00037999999999982E7	-2.72066653974486661E1
1.00038999999999989E7	-2.70038392135445360E1
1.00039999999999996E7	-2.68054402483352083E1
1.00041000000000002E7	-2.66112901440436644E1
1.00042000000000009E7	-2.64212204534504513E1
1.00042999999999993E7	-2.62350719834648727E1
1.00044000000000000E7	-2.60526941841067261E1
1.00045000000000006E7	-2.58739445805905666E1
1.00045999999999990E7	-2.56986882457289134E1
1.00046999999999997E7	-2.55267973103067947E1
1.00048000000000004E7	-2.53581505086491044E1
1.00049000000000010E7	-2.51926327570543318E1
1.00049999999999994E7	-2.50301347626239323E1
1.00051000000000001E7	-2.48705526603259619E1
1.00052000000000008E7	-2.47137876760920161E1
1.00052999999999992E7	-2.45597458140169644E1
1.00053999999999998E7	-2.44083375658690116E1
1.00055000000000005E7	-2.42594776410717738E1
1.00056000000000012E7	-2.41130847157015182E1
1.00057000000000018E7	-2.39690811990029973E1
1.00057999999999980E7	-2.38273930160147485E1
1.00059000000000009E7	-2.36879494051854955E1
1.00059999999999993E7	-2.35506827296914167E1
1.00061000000000000E7	-2.34155283015578863E1
1.00062000000000006E7	-2.32824242174919016E1
1.00062999999999991E7	-2.31513112056126769E1
1.00063999999999997E7	-2.30221324822383133E1
1.00064999999999982E7	-2.28948336179839407E1
1.00066000000000010E7	-2.27693624124957417E1
1.00066999999999995E7	-2.26456687771391607E1
1.00068000000000001E7	-2.25237046251422601E1
1.00068999999999986E7	-2.24034237685667392E1
1.00070000000000014E7	-2.22847818216848692E1
1.00070999999999999E7	-2.21677361102708570E1
1.00072000000000005E7	-2.20522455863925115E1
1.00072999999999990E7	-2.19382707483365857E1
1.00073999999999996E7	-2.18257735653021845E1
1.00075000000000003E7	-2.17147174064975479E1
1.00076000000000009E7	-2.16050669744192803E1
1.00077000000000016E7	-2.14967882419539391E1
1.00078000000000000E7	-2.13898483930955052E1
1.00078999999999985E7	-2.12842157670017640E1
1.00079999999999991E7	-2.11798598052097464E1
1.00080999999999998E7	-2.10767510017714965E1
1.00082000000000004E7	-2.09748608561219774E1
1.00083000000000011E7	-2.08741618285358443E1
1.00083999999999973E7	-2.07746272979864566E1
1.00085000000000024E7	-2.06762315222272886E1
1.00085999999999986E7	-2.05789496000299410E1
1.00087000000000015E7	-2.04827574353587671E1
